start,end,distance
26059311,3256115046,53.141
26059311,4429332928,11.548
26059311,4419128653,14.588
26059312,3256115020,33.469
26059312,420547128,52.411
26059312,1941921951,44.468
26059315,2518952144,119.393
26059315,420547124,59.134
26059315,2518952154,42.673
26059321,3140024948,4.722
26059321,2820814277,18.394
26059325,2693780962,24.464
26059325,419028629,36.545
26059326,3255215314,11.866
26059326,3255215315,16.034
26059326,2990317175,69.135
26059332,4435212910,42.455
26059332,2296955359,102.89
26059332,1943828794,17.678
26059337,1729202430,49.297
26059337,1987108036,20.908
26059340,26059341,75.059
26059340,1987108040,30.733
26059341,4429283007,19.469
26059341,26059340,75.059
26059342,4429283015,22.421
26059342,1729202458,16.852
26059343,4429283017,10.925
26059343,4429283015,12.943
26059344,1987108048,17.084
26059344,4429283017,6.9
26059347,26059348,54.037
26059347,4429283009,11.728
26059348,4458466493,21.602
26059348,26059347,54.037
26059349,1987108010,34.795
26059349,4429283005,10.557
26059353,1729202454,25.959
26059353,1729202431,33.186
26059354,26059355,25.759
26059354,1729202462,24.244
26059355,1729202448,17.618
26059355,26059354,25.759
26059357,1729202418,39.623
26059357,1729202429,24.453
26059358,26059359,19.085
26059358,4429283011,17.421
26059359,1987108049,8.004
26059359,26059358,19.085
26059361,6315375943,26.781
26059361,6315375938,18.928
26059362,6315375926,38.812
26059362,6315375928,40.297
26059363,1987108061,40.722
26059363,6315375926,32.976
26059364,60076972,64.783
26059364,6315375925,40.029
26059364,1307159488,173.489
26059367,3357222518,11.307
26059367,1987108056,26.316
26059367,6315375950,74.223
26059368,1307159451,38.378
26059369,4413436676,21.803
26059375,26059376,37.173
26059375,6273863585,20.698
26059375,1076646244,39.466
26059375,1076646324,120.425
26059376,7287615682,6.558
26059376,26059375,37.173
26059376,1120362810,118.625
26059491,311784014,10.422
26059491,313164126,172.443
26069746,6253591705,11.261
26069746,3345131982,30.919
26069751,2534921873,40.882
26069751,26069982,108.073
26069751,3335321895,35.161
26069751,5184055232,30.902
26069761,1676908272,53.412
26069766,1676886481,76.521
26069766,3304121487,128.255
26069767,26069768,26.131
26069768,1151731676,51.47
26069769,60072874,189.825
26069770,4429437211,26.012
26069770,4498776281,22.534
26069793,4413559935,31.603
26069794,26069795,52.132
26069794,1151731634,47.559
26069795,2612147338,23.884
26069796,2612147335,25.318
26069797,4413547954,20.033
26069798,1151731183,54.228
26069800,4413547927,35.709
26069801,4413547926,55.274
26069808,1553541466,20.687
26069808,4419503578,35.242
26069809,321706146,28.385
26069810,1076646369,70.347
26069810,1726063077,17.365
26069810,1737223432,297.471
26069821,318918107,42.819
26069822,318918114,48.33
26069823,1120363103,19.476
26069824,26069825,27.541
26069825,26069826,46.357
26069826,318918118,69.606
26069837,1859239348,15.695
26069837,1859239366,8.725
26069842,1099409292,111.445
26069842,1859239303,43.492
26069842,26069843,38.409
26069842,1482272896,134.495
26069843,1099409305,41.327
26069843,26069842,38.409
26069843,1482272898,19.753
26069847,26069848,40.598
26069847,1987033383,37.447
26069847,4355285623,71.198
26069848,26069847,40.598
26069848,26069849,89.909
26069848,1120362686,43.101
26069849,26069848,89.909
26069849,1482253551,37.676
26069860,1726063066,24.935
26069860,2903311409,56.228
26069864,1726059979,109.953
